rho_true,pattern,mse_diag,mse_full_correct,mse_full_zero
0.0,gradual,0.0048765525612219215,0.0048765525612219215,0.0048765525612219215
0.0,immediate,0.007289543337668955,0.007289543337668955,0.007289543337668955
0.1,gradual,0.005656706611595241,0.005655167802138745,0.005656706611595241
0.1,immediate,0.008070856084458329,0.008073230475458229,0.008070856084458329
0.2,gradual,0.006575039847491212,0.0065699339506300565,0.006575039847491212
0.2,immediate,0.008990690437902413,0.008994361000276,0.008990690437902413
0.3,gradual,0.0076652856194057584,0.007653816403762808,0.0076652856194057584
0.3,immediate,0.010082998223385103,0.010086317432724411,0.010082998223385103
0.5,gradual,0.010544070802813579,0.010506012958886974,0.010544070802813579
0.5,immediate,0.012968452917194583,0.012961784004858104,0.012968452917194583
